Pontuação Total,Pontos Preço,Pontos Distância,Pontos Quartos,Pontos Banheiros,Pontos Vagas,Pontos Área,Pontos Facilidades,Pontos Fonte,Código,Nome/Endereço,Bairro,Valor Total Mensal (R$),Preço do Aluguel (R$),Condomínio (R$),IPTU (R$),Quartos,Banheiros,Vagas,Área (m²),Facilidades,Imobiliária,Fonte (site),LatLong Imovel,Distância Interlagos (km)
28.46,90.0,5.0,0.0,0.0,2.0,1.0,4.0,0.0,10,"Próximo ao Hospital 9 de Julho, Bela Vista",Bela Vista,3628.35,2500,976.18,152.17,2,2,1,80,"Quadra, Playground",lsprado,https://www.lsprado.com.br/imovel/apartamento-sao-paulo-2-quartos-80-m/AP2200-LSA?from=rent,"(-23.5601219, -46.6500338)",14.082569295485335
19.06,60.0,5.0,0.0,0.0,2.0,-3.0,4.0,0.0,6,"Aclimação, São Paulo",Aclimação,3920.0,3000,800.0,120.0,2,2,1,60,"Elevador, Portaria 24 horas",rizkimoveis,https://rizkimoveis.com.br/imovel/10118/apartamento-2-quartos-aclimacao-sao-paulo/venda-e-aluguel/,"(-23.5671021, -46.6268011)",14.067159960582469
18.36,50.0,10.0,0.0,0.0,2.0,3.0,4.0,10.0,4,"Rua Cubatão, Vila Mariana",Vila Mariana,4018.0,2830,1140.0,48.0,2,2,1,90,"Elevador, Próximo ao metrô",quintoandar,https://www.quintoandar.com.br/imovel/894548094/alugar/apartamento-2-quartos-vila-mariana-sao-paulo,"(-23.5837, -46.632740824206934)",12.1384842742821
14.499999999999998,40.0,5.0,5.0,0.0,0.0,1.0,4.0,10.0,22,"Rua Artur Prado, Bela Vista, São Paulo",Bela Vista,4176.0,2900,1105.0,171.0,3,2,0,80,"Portaria 24h, elevador",quintoandar,https://www.quintoandar.com.br/imovel/894590276/alugar/apartamento-3-quartos-bela-vista-sao-paulo,"(-23.5601219, -46.6500338)",14.082569295485335
14.159999999999998,40.0,5.0,0.0,0.0,2.0,-3.0,12.0,10.0,26,"Rua Barata Ribeiro, Bela Vista, São Paulo",Bela Vista,4140.0,3000,896.0,128.0,2,2,1,65,"Piscina, Academia, Salão de festas, Espaço gourmet, Elevador, Portaria 24h",quintoandar,https://www.quintoandar.com.br/imovel/893085659,"(-23.5601219, -46.6500338)",14.082569295485335
11.659999999999998,30.0,5.0,5.0,0.0,2.0,1.0,4.0,10.0,12,"Apartamento no bairro Bela Vista, São Paulo",Bela Vista,4250.0,3200,850.0,200.0,3,2,1,78,"Portaria 24h, salão de festas",quintoandar,https://www.quintoandar.com.br/imovel/894590276,"(-23.5601219, -46.6500338)",14.082569295485335
11.360000000000001,30.0,10.0,0.0,0.0,2.0,-1.0,6.0,0.0,1,"Rua Domingos de Morais, Vila Mariana",Vila Mariana,4202.75,3000,1200.0,2.75,2,2,1,70,"Portaria 24 horas, Elevador, Próximo ao metrô",zapimoveis,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-com-elevador-vila-mariana-zona-sul-sao-paulo-sp-70m2-id-2716602081/,"(-23.5837, -46.632740824206934)",12.1384842742821
6.260000000000001,20.0,-5.0,0.0,0.0,2.0,-3.0,14.0,10.0,21,"Rua Aurora, Santa Ifigênia, São Paulo",Santa Ifigênia,4348.0,3000,1071.0,277.0,2,2,1,57,"Academia, piscina, salão de festas, sauna, lavanderia, área verde, portaria 24h",quintoandar,https://www.quintoandar.com.br/imovel/894601086/alugar/apartamento-2-quartos-santa-ifigenia-sao-paulo,"(-23.5376199, -46.6391827)",16.765140295224032
6.16,-0.0,25.0,0.0,0.0,2.0,1.0,4.0,10.0,24,"Rua Texas, Brooklin Paulista, São Paulo",Brooklin Paulista,4621.0,3109,1337.0,67.0,2,2,1,78,"Elevador, Portaria 24h",quintoandar,https://www.quintoandar.com.br/imovel/893762445,"(-23.6295676, -46.6734954)",6.089256729079887
5.300000000000001,10.0,5.0,5.0,0.0,0.0,-1.0,4.0,10.0,23,"Rua Maria Paula, Bela Vista, São Paulo",Bela Vista,4470.0,3400,889.0,181.0,3,2,0,73,"Elevador, próximo ao metrô",quintoandar,https://www.quintoandar.com.br/imovel/892877492/alugar/apartamento-3-quartos-bela-vista-sao-paulo,"(-23.5601219, -46.6500338)",14.082569295485335
4.7,-0.0,10.0,5.0,0.0,0.0,13.0,4.0,10.0,5,"Rua Joaquim Floriano, Itaim Bibi",Itaim Bibi,4572.0,3600,697.0,275.0,3,2,0,135,"Elevador, Portaria 24h",quintoandar,https://www.quintoandar.com.br/imovel/893818139/alugar/apartamento-3-quartos-itaim-bibi-sao-paulo,"(-23.5843807, -46.6784441)",11.056735539551442
2.66,-0.0,10.0,0.0,0.0,2.0,1.0,8.0,0.0,2,"Rua Doutor Mário Cardim, Vila Mariana",Vila Mariana,4603.333333,3500,1100.0,3.333333333,2,2,1,84,"Portaria 24 horas, Elevador, Salão de festas, Playground",zapimoveis,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-com-cozinha-vila-mariana-zona-sul-sao-paulo-sp-84m2-id-2735407830/,"(-23.5837, -46.632740824206934)",12.1384842742821
1.66,10.0,-10.0,0.0,0.0,2.0,-3.0,16.0,0.0,7,Próximo ao Metrô Barra Funda,Barra Funda,4449.0,3300,990.0,159.0,2,2,1,62,"Children care, Churrasqueira, Espaço gourmet, Piscina adulto e infantil, Sala de ginástica, Salão de festa, Salão de jogos, Sauna",lsprado,https://www.lsprado.com.br/imovel/apartamento-sao-paulo-2-quartos-62-m/AP1325-LSA?from=rent,"(-23.5254616, -46.6675134)",17.62829785976401
-0.14,-0.0,-5.0,5.0,0.0,2.0,-3.0,10.0,0.0,9,Próximo ao Shopping Bourbon,Perdizes,4517.97,3500,917.53,100.44,3,2,1,60,"Piscina, Academia, Salão de festas, Salão de jogos, Playground",lsprado,https://www.lsprado.com.br/imovel/apartamento-sao-paulo-3-quartos-60-m/AP1351-LSA?from=rent,"(-23.537929499999997, -46.68067051085396)",16.19991482383919
-1.1,-10.0,5.0,0.0,0.0,0.0,-1.0,6.0,10.0,3,"Alameda Fernão Cardim, Jardim Paulista",Jardim Paulista,4700.0,3500,1000.0,200.0,2,2,0,70,"Próximo ao metrô, Elevador, Portaria 24h",quintoandar,https://www.quintoandar.com.br/imovel/894340151/alugar/apartamento-2-quartos-jardim-paulista-sao-paulo,"(-23.5652185, -46.6601846)",13.334885465070936
-1.3399999999999999,-20.0,5.0,10.0,3.0,2.0,11.0,8.0,10.0,27,Apartamento - Avenida Brigadeiro Luís Antônio,Bela Vista,4934.0,3370,1410.0,154.0,4,3,1,125,"Próximo ao metrô, aceita pets, portaria 24h, elevador",quintoandar,https://www.quintoandar.com.br/imovel/893436879,"(-23.5601219, -46.6500338)",14.082569295485335
-4.499999999999999,-30.0,10.0,5.0,0.0,0.0,9.0,8.0,10.0,28,Apartamento - Rua Domingos de Morais,Vila Mariana,5223.0,3900,1090.0,233.0,3,2,0,115,"Próximo ao metrô, aceita pets, elevador, portaria 24h",quintoandar,https://www.quintoandar.com.br/imovel/894614711,"(-23.5837, -46.632740824206934)",12.1384842742821
-5.34,-30.0,10.0,0.0,0.0,2.0,1.0,14.0,10.0,25,"Rua Estela, Vila Mariana, São Paulo",Vila Mariana,5167.0,3800,1100.0,120.0,2,2,1,80,"Playground, Quadra esportiva, Academia, Salão de festas, Área verde, Elevador, Portaria 24h",quintoandar,https://www.quintoandar.com.br/imovel/894561348,"(-23.5837, -46.632740824206934)",12.1384842742821
-7.7,-40.0,10.0,5.0,0.0,0.0,9.0,4.0,10.0,19,"Rua Domingos de Morais, Vila Mariana, São Paulo",Vila Mariana,5374.0,3900,1090.0,233.0,3,2,0,115,"Portaria 24h, elevador",quintoandar,https://www.quintoandar.com.br/imovel/894614711,"(-23.5837, -46.632740824206934)",12.1384842742821
-30.14,-110.0,5.0,5.0,3.0,2.0,5.0,8.0,0.0,8,"Consolação, São Paulo",Consolação,6765.52,5500,1265.52,0.0,3,3,1,100,"Área de serviço, Armário na cozinha, Elevador, Portão eletrônico",lsprado,https://www.lsprado.com.br/imovel/apartamento-sao-paulo-3-quartos-100-m/AP2259-LSA?from=rent,"(-23.557818, -46.6605373)",14.140247007114032
